date,min_temp_c,max_temp_c,min_rh_pct,fems_gsi,fems_woody_pct,fems_herb_pct
2026-07-03,0.5556,28.8889,5.0,0.13,60,30
2026-07-04,1.6667,30.0000,4.0,0.13,60,30
2026-07-05,7.7778,30.0000,4.0,0.13,60,30
2026-07-06,7.7778,31.6667,14.0,0.13,60,30
2026-07-07,7.2222,31.6667,16.0,0.13,60,30
2026-07-08,7.7778,31.6667,16.0,0.13,60,30
2026-07-09,7.7778,32.2222,16.0,0.13,60,30
2026-07-10,7.7778,31.6667,14.0,0.13,60,30
2026-07-11,5.5556,32.7778,14.0,0.13,60,30
2026-07-12,9.4444,31.6667,13.0,0.13,60,30
2026-07-13,14.4444,30.0000,24.0,0.13,60,30
2026-07-14,8.3333,28.3333,32.0,0.12,60,30
2026-07-15,15.0000,28.8889,29.0,0.1,60,30
2026-07-16,13.8889,25.0000,50.0,0.1,60,30
2026-07-17,13.3333,22.7778,59.0,0.11,60,30
2026-07-18,12.2222,22.7778,63.0,0.13,60,30
2026-07-19,11.6667,26.1111,45.0,0.15,60,30
2026-07-20,12.2222,27.2222,45.0,0.19,60,30
2026-07-21,15.5556,26.1111,42.0,0.22,60,30
2026-07-22,14.4444,26.1111,46.0,0.26,60,30
2026-07-23,12.7778,30.0000,37.0,0.29,60,30
2026-07-24,12.2222,31.1111,28.0,0.31,62,34
2026-07-25,13.3333,30.5556,25.0,0.33,65,38
2026-07-26,15.5556,28.8889,32.0,0.33,65,38
2026-07-27,12.2222,29.4444,35.0,0.33,65,39
2026-07-28,12.7778,28.3333,31.0,0.34,67,41
2026-07-29,12.2222,28.8889,29.0,0.36,71,47
2026-07-30,12.7778,30.0000,30.0,0.37,73,51
2026-07-31,11.1111,32.2222,22.0,0.39,78,58
2026-08-01,11.6667,32.7778,18.0,0.41,81,63
2026-08-02,30.0000,30.0000,22.0,0.41,81,63
